# OOTK-HUIM-UN-PNU Results
# Version: 1.0
# Generated: 2025-10-22T02:43:41.662444Z
# K: 100, MinProbability: 0.200000
# Total Results: 100
#
# Format: Rank | Items | Expected_Utility | Existential_Probability | Size

52 | 1, 2, 3, 4, 7 | 224.063211 | 0.939553 | 5
53 | 2, 4, 7, 9 | 223.894326 | 0.990719 | 4
54 | 3, 4, 7, 8 | 222.184398 | 0.992279 | 4
55 | 2, 4, 9, 10 | 218.036913 | 0.994100 | 4
56 | 4, 7, 8, 10 | 216.731125 | 0.995430 | 4
57 | 3, 4, 9 | 216.190807 | 0.999721 | 3
58 | 2, 4, 6, 10 | 215.824558 | 0.981996 | 4
59 | 4, 7, 9, 10 | 215.678220 | 0.990365 | 4
60 | 3, 4, 7, 9 | 214.706611 | 0.987443 | 4
61 | 2, 3, 4, 9, 10 | 212.702896 | 0.963576 | 5
62 | 2, 3, 4, 6, 10 | 212.171393 | 0.932955 | 5
63 | 2, 4, 7, 8 | 211.372332 | 0.992466 | 4
64 | 4, 7, 9 | 211.147831 | 0.999407 | 3
65 | 3, 4, 8 | 211.017551 | 0.999868 | 3
66 | 3, 4, 7, 8, 10 | 210.879832 | 0.966383 | 5
67 | 4, 6, 10 | 206.417099 | 0.997728 | 3
68 | 2, 4, 7, 8, 10 | 205.989323 | 0.966146 | 5
69 | 2, 3, 4, 6, 7 | 205.308035 | 0.905801 | 5
70 | 1, 2, 4, 5, 7 | 204.526795 | 0.953367 | 5
71 | 2, 4, 8 | 202.179515 | 0.999975 | 3
72 | 4, 6, 7, 10 | 202.161864 | 0.966900 | 4
73 | 2, 3, 4, 7, 8 | 201.612375 | 0.952918 | 5
74 | 1, 4 | 200.098052 | 1.000000 | 2
75 | 2, 4, 7, 9, 10 | 200.054783 | 0.948542 | 5
76 | 4, 7, 8 | 195.903751 | 0.999716 | 3
77 | 1, 4, 5, 7, 10 | 194.969361 | 0.957088 | 5
78 | 2, 4, 9 | 194.822673 | 0.999782 | 3
79 | 1, 3, 4, 5, 7 | 193.811705 | 0.934520 | 5
80 | 4, 9, 10 | 193.768644 | 0.999718 | 3
81 | 3, 4, 5, 6 | 193.248106 | 0.980354 | 4
82 | 2, 3, 4, 7, 9 | 192.839746 | 0.935353 | 5
83 | 1, 3, 4, 5 | 192.413517 | 0.984374 | 4
84 | 1, 2, 4, 5 | 192.204851 | 0.991159 | 4
85 | 1, 2, 3, 4, 7, 10 | 191.637014 | 0.864687 | 6
86 | 3, 4, 6, 7, 10 | 191.364324 | 0.895898 | 5
87 | 2, 3, 4, 5, 7, 10 | 190.706128 | 0.837881 | 6
88 | 3, 4, 7, 9, 10 | 189.573340 | 0.943436 | 5
89 | 4, 5, 6, 7 | 186.860051 | 0.977872 | 4
90 | 2, 4, 5, 7, 9 | 184.508370 | 0.960036 | 5
91 | 4, 5, 7, 9 | 183.694186 | 0.991905 | 4
92 | 2, 4, 5, 6 | 183.561951 | 0.988338 | 4
93 | 2, 3, 4, 5, 6 | 183.513748 | 0.931564 | 5
94 | 2, 3, 4, 7, 8, 10 | 181.710471 | 0.887887 | 6
95 | 1, 4, 5, 10 | 179.861488 | 0.990042 | 4
96 | 2, 4, 6, 7, 10 | 178.962654 | 0.890026 | 5
97 | 2, 4, 5, 6, 7 | 177.776939 | 0.925670 | 5
98 | 1, 2, 3, 4, 5 | 176.313515 | 0.934675 | 5
99 | 1, 4, 5 | 175.825318 | 0.999546 | 3
100 | 3, 4, 5, 6, 7 | 173.983152 | 0.893261 | 5
